JALAN MATA AYER,4,
N LENGKOK SEMBAWANG,2,
Location,No. of Dengue Cases,
FOCH ROAD,1,
JALAN BESAR,1,
LAVENDER STREET,1,
TYRWHITT ROAD,3,
Location,No. of Dengue Cases,
ASIR RIS DR 4 (BLK 478),1,
IR RIS STREET 41 (BLK 463),2,
IR RIS STREET 41 (BLK 464),1,
ASIR RIS DR 6 (BLK 473),2,
Location,No. of Dengue Cases,
SIR RIS DRIVE 4 (BLK 234),1,
IR RIS STREET 21 (BLK 229),1,
IR RIS STREET 21 (BLK 235),1,
IR RIS STREET 21 (BLK 240),2,
Location,No. of Dengue Cases,
"",,
IR RIS STREET 12 (BLK 106),3,
IR RIS STREET 12 (BLK 107),1,
Location,No. of Dengue Cases,
PINES STREET 11 (BLK 113),2,
PINES STREET 11 (BLK 119),1,
Location,No. of Dengue Cases,
LORONG 24 GEYLANG,3,
LORONG 24A GEYLANG,1,
Location,No. of Dengue Cases,
LUCKY HEIGHTS,2,
SENNETT CLOSE,1,
PER EAST COAST ROAD,1,
Location,No. of Dengue Cases,
PINES STREET 81 (BLK 888),1,
INES STREET 81 (BLK 888A),1,
INES STREET 83 (BLK 882A),1,
PINES STREET 83 (BLK 886),1,
Location,No. of Dengue Cases,
VERNON PARK,4,
Location,No. of Dengue Cases,
HUN AVENUE 6 (BLK 403),1,
HUN AVENUE 6 (BLK 404),3,
Location,No. of Dengue Cases,
HUN STREET 21 ( BLK 222),1,
HUN STREET 21 ( BLK 227),2,
HUN STREET 21 ( BLK 230),1,
Location,No. of Dengue Cases,
K NORTH STREET 3 (BLK 536),1
Location,No. of Dengue Cases,
CHEPSTOW CLOSE,1,
RANGOON GARDEN WAY,1,
"LocationNo. of Dengue CasesPASSVALE LINK (BLK 273C)1KANG CENTRAL (BLK 270A)1KANG CENTRAL (BLK 272D)1",,
Location,No. of Dengue Cases,
PASSVALE LINK (BLK 273C),1,
KANG CENTRAL (BLK 270A),1,
KANG CENTRAL (BLK 272D),1,
Location,No. of Dengue Cases,
EDALE PLAINS (BLK 109A),1,
EDALE PLAINS (BLK 126C),1,
NGGOL FIELD (BLK 110B),1,
Location,No. of Dengue Cases,
JALAN CHELAGI,1,
LOYANG RISE,2,
Location,No. of Dengue Cases,
JALAN LOYANG BESAR,2,
LOYANG BESAR CLOSE,1,
Location,No. of Dengue Cases,
G EAST STREET 21 (BLK 201),2,
G EAST STREET 21 (BLK 203),1,
"LocationNo. of Dengue CasesG EAST STREET 21 (BLK 287D)1H GUAN ROAD (BLK 286B)2",,
Location,No. of Dengue Cases,
G EAST STREET 21 (BLK 287D),1,
H GUAN ROAD (BLK 286B),2,
Location,No. of Dengue Cases,
MPANG ROAD (BLK 177),2,
MPANG ROAD (BLK 178),1,
"",,
SIMS AVE,1,
LORONG 37 GEYLANG,2,
"LocationNo. of Dengue CasesHAN STREET 11 (BLK 152B)1HAN STREET 13 (BLK 154)1",,
Location,No. of Dengue Cases,
HAN STREET 11 (BLK 152B),1,
HAN STREET 13 (BLK 154),1,
Location,No. of Dengue Cases,
ANJANG RING ROAD (BLK 243),1,
ANJANG RING ROAD (BLK 244),1,
Location,No. of Dengue Cases,
HU KANG CRESENT (BLK 685C),1,
HU KANG CRESENT (BLK 686D),1,
Location,No. of Dengue Cases,
EAST COAST ROAD,1,
SEA AVENUE,1,
Location,No. of Dengue Cases,
GRANGE ROAD,2,
Location,No. of Dengue Cases,
JALAN BESAR,1,
TYRWHITT ROAD,1,
"LocationNo. of Dengue CasesONG 4 TOA PAYOH (BLK 58)1ONG 5 TOA PAYOH (BLK 54)1",,
Location,No. of Dengue Cases,
ONG 4 TOA PAYOH (BLK 58),1,
ONG 5 TOA PAYOH (BLK 54),1,
Location,No. of Dengue Cases,
LORONG STANGEE,1,
STANGEE CLOSE,1,
Location,No. of Dengue Cases,
ncy,,
KENT ROAD,,1
Location,,No. of Dengue Cases
EDHILL CLOSE (BLK 12),,1
REDHILL ROAD (BLK 71),,1
Location,,No. of Dengue Cases
IVERVALE DR (BLK 144),,1
ERVALE STREET (BLK 137),,1
Location,,No. of Dengue Cases
IMEI STREET 1 (BLK 106),,1
IMEI STREET 1 (BLK 109),,1
Location,,No. of Dengue Cases
TOH YI ROAD,,2
Location,,No. of Dengue Cases
HUN RING ROAD (BLK 113),,1
HUN RING ROAD (BLK 118),,1
Location,,No. of Dengue Cases
HUN STREET 72 (BLK 758),,1
HUN STREET 72 (BLK 760),,1
se click here.,,
nnect With Us,GO TO,
"",NEA Website,
Copyright,2013 National Environment Agency. All rights reserv,
gency,,,,
Feedback,FAQS,Contact Us,,
Participate Resources,,Contact,,
Dengue Cluster Information @ NEA 2013,,,,
Click here for more NEA information in OneMap,,,,
cases occur within 14 days and the homes of the dengue,,,,
"cluster boundary, please click on the cluster locality.",,,,
r. Each alert level is associated with a list of preventive actions,,,,
There are 3 alert levels:,,,,
Alert Level,,,,
Red,,,,
Yellow,,,,
xt Green,,,,
Breakdown,,,,
Location No. of Dengue Cases,,,,
FAJAR ROAD (BLK 402),,4,,
FAJAR ROAD (BLK 403),,9,,
FAJAR ROAD (BLK 404),,16,,
FAJAR ROAD (BLK 407),,5,,
FAJAR ROAD (BLK 408),,1,,
FAJAR ROAD (BLK 417),,1,,
FAJAR ROAD (BLK 436),,1,,
FAJAR ROAD (BLK 438),,1,,
FAJAR ROAD (BLK 439),,2,,
FAJAR ROAD (BLK 442),,2,,
AUJANA ROAD (BLK 409),,1,,
AUJANA ROAD (BLK 410),,1,,
AUJANA ROAD (BLK 414),,1,,
AUJANA ROAD (BLK 416),,3,,
Location No. of Dengue Cases,,,,
PINES STREET 71 (BLK 712),,1,,
PINES STREET 71 (BLK 714),,1,,
PINES STREET 71 (BLK 730),,2,,
PINES STREET 71 (BLK 731),,1,,
PINES STREET 71 (BLK 733),,3,,
"",,,,1/
PINES STREET 71 (BLK 734),1
PINES STREET 71 (BLK 735),1
PINES STREET 72 (BLK 717),2
PINES STREET 72 (BLK 718),3
PINES STREET 72 (BLK 719),1
PINES STREET 72 (BLK 720),3
PINES STREET 72 (BLK 723),1
PINES STREET 72 (BLK 735),6
PINES STREET 72 (BLK 736),9
PINES STREET 72 (BLK 737),5
PINES STREET 72 (BLK 741),1
TAMPINES STREET 73,2
Location,No. of Dengue Cases
ALAN GOTONG ROYONG,4
JALAN KURNIA,2
ROCHDALE ROAD,5
THRIFT DRIVE,8
PER PAYA LEBAR ROAD,10
TAI KENG PLACE,2
Location,No. of Dengue Cases
CARDIFF GROVE,1
LI HWAN CLOSE,3
LI HWAN PLACE,7
LI HWAN TERRACE,9
LI HWAN VIEW,5
LI HWAN WALK,4
Location,No. of Dengue Cases
ENGKANG EAST AVENUE,15
RIVERVALE LINK,12
VERVALE WALK (BLK 102),1
Location,No. of Dengue Cases
RESERVOIR ROAD (BLK 716),2
RESERVOIR ROAD (BLK 717),9
RESERVOIR ROAD (BLK 718),2
RESERVOIR ROAD (BLK 719),1
RESERVOIR ROAD (BLK 721),1
Location,No. of Dengue Cases
CAVAN ROAD,1
FOCH ROAD,3
HAMILTON ROAD,1
HORNE ROAD,1
JALAN BESAR,1
LAVENDER STREET,1
TYRWHITT ROAD,5
Location,No. of Dengue Cases
DEFU AVENUE 1,1
DEFU LANE 9,10
DEFU LANE 10,2
Location,No. of Dengue Cases
ALLANG PUDDING ROAD,8
Location,No. of Dengue Cases
SIR RIS DRIVE 4 (BLK 231),1
SIR RIS DRIVE 4 (BLK 234),1
IR RIS STREET 21 (BLK 229),2
IR RIS STREET 21 (BLK 235),1
IR RIS STREET 21 (BLK 240),2
Location,No. of Dengue Cases
G WEST AVENUE 1 (BLK 442),1
G WEST AVENUE 1 (BLK 444),1
G WEST STREET 42 (BLK 452),2
G WEST STREET 42 (BLK 553),1
G WEST STREET 42 (BLK 557),1
Location,No. of Dengue Cases
Location,No. of Dengue Cases
CHU KANG NORTH 6 (BLK 631),2
CHU KANG NORTH 6 (BLK 633),1
CHU KANG NORTH 6 (BLK 787),1
CHU KANG NORTH 6 (BLK 789),1
Location,No. of Dengue Cases
ONG WEST ST 42 (BLK 545),3
ONG WEST ST 42 (BLK 546),2
"",
Location,No. of Dengue Cases
LENGKONG EMPAT,2
LENGKONG SATU,1
LENGKONG TIGA,2
Location,No. of Dengue Cases
PINES STREET 81 (BLK 897),1
INES STREET 81 (BLK 897A),2
PINES STREET 81 (BLK 898),1
Location,No. of Dengue Cases
KITCHENER LINK,2
KITCHENER ROAD,1
SOMME ROAD,1
Location,No. of Dengue Cases
AMPINES ST 11 (BLK 127),4
"",
Location,No. of Dengue Cases
MO KIO AVENUE 4 (BLK 610),1
MO KIO AVENUE 4 (BLK 612),1
MO KIO AVENUE 4 (BLK 615),1
Location,No. of Dengue Cases
BISHOPSGATE,3
Location,No. of Dengue Cases
JALAN CHELAGI,1
LOYANG RISE,2
Location,No. of Dengue Cases
EDHILL CLOSE (BLK 12),1
REDHILL LANE (BLK 78),1
REDHILL ROAD (BLK 71),1
Location,No. of Dengue Cases
PINES STREET 41 (BLK 410),1
PINES STREET 41 (BLK 414),1
PINES STREET 41 (BLK 421),1
Location,No. of Dengue Cases
ER SERANGOON CRESCENT,3
Location,No. of Dengue Cases
HUN AVENUE 6 (BLK 403),2
HUN AVENUE 6 (BLK 404),1
Location,No. of Dengue Cases
ANGKIT ROAD (BLK 246),1
ANGKIT ROAD (BLK 253),1
Location,No. of Dengue Cases
HAN STREET 22 (BLK 238),1
HAN STREET 22 (BLK 242),1
Location,No. of Dengue Cases
HAN STREET 23 (BLK 213),1
HAN STREET 23 (BLK 218),1
Location,No. of Dengue Cases
ATOK WEST AVE 5 (BLK 386),2
"",
Location,No. of Dengue Cases
CHU KANG CENTRAL (BLK 220),1
CHU KANG CENTRAL (BLK 227),1
"",
"",
HU KANG STREET 53 (BLK 705),2,
"",,
Location,No. of Dengue Cases,
PASSVALE DRIVE (BLK 204A),1,
PASSVALE DRIVE (BLK 204D),1,
"",,
Location,No. of Dengue Cases,
GANG AVENUE 8 (BLK 419),1,
GANG AVENUE 10 (BLK 421),1,
"",,
"",,
Location,No. of Dengue Cases,
ALAN BAHAGIA (BLK 28),1,
JALAN TENTERAM,1,
"",,
Location,No. of Dengue Cases,
JALAN MARIAM,1,
MARIAM CLOSE,1,
Location,No. of Dengue Cases,
G EAST STREET 31 (BLK 323),1,
G EAST STREET 31 (BLK 324),1,
Location,No. of Dengue Cases,
G EAST STREET 32 (BLK 312),1,
G EAST STREET 32 (BLK 315),1,
Location,No. of Dengue Cases,
ONG WEST ST 41 (BLK 462),1,
ONG WEST ST 41 (BLK 463),1,
Location,No. of Dengue Cases,
NG 1 TOA PAYOH (BLK 124),1,
NG 1 TOA PAYOH (BLK 125),1,
Location,No. of Dengue Cases,
LORONG 16 GEYLANG,2,
Location,No. of Dengue Cases,
R 8 TOA PAYOH (BLK 219),1,
R 8 TOA PAYOH (BLK 222),1,
Location,No. of Dengue Cases,
SHUNFU RD (BLK 316),1,
SHUNFU RD (BLK 318),1,
Location,No. of Dengue Cases,
SIMS AVENUE,2,
"",,
Location,No. of Dengue Cases,
PINES STREET 71 (BLK 727),1,
PINES STREET 83 (BLK 864),1,
"",,
Location,No. of Dengue Cases,
THOMSON ROAD,2,
Location,No. of Dengue Cases,
HUN AVENUE 3 (BLK 768),1,
HUN AVENUE 3 (BLK 771),1,
Location,No. of Dengue Cases,
YISHUN STREET 61,2,
Location,No. of Dengue Cases,
YISHUN ST 71 (BLK 722),2,
nnect With Us,"GO TONEA Website"
"",
"",
t Agency,,,,
Feedback,FAQS,Contact Us,,
Participate Resources,,Contact,,
Dengue Cluster Information @ NEA 2013,,,,
Click here for more NEA information in OneMap,,,,
cases occur within 14 days and the homes of the dengue,,,,
"cluster boundary, please click on the cluster locality.",,,,
r. Each alert level is associated with a list of preventive actions,,,,
There are 3 alert levels:,,,,
Alert Level,,,,
Red,,,,
Yellow,,,,
xt Green,,,,
Breakdown,,,,
Location No. of Dengue Cases,,,,
NGKANG EAST AVENUE,,28,,
RIVERVALE LINK,,19,,
ERVALE DRIVE (BLK 116C),,1,,
ERVALE WALK (BLK 101),,2,,
ERVALE WALK (BLK 102),,2,,
ERVALE WALK (BLK 103),,2,,
ERVALE WALK (BLK 109),,1,,
ERVALE WALK (BLK 110),,1,,
Location No. of Dengue Cases,,,,
PINES STREET 71 (BLK 712),,1,,
PINES STREET 71 (BLK 714),,2,,
PINES STREET 71 (BLK 730),,4,,
PINES STREET 71 (BLK 731),,2,,
PINES STREET 71 (BLK 733),,3,,
PINES STREET 71 (BLK 734),,2,,
PINES STREET 71 (BLK 735),,1,,
PINES STREET 72 (BLK 717),,2,,
PINES STREET 72 (BLK 718),,3,,
PINES STREET 72 (BLK 719),,2,,
PINES STREET 72 (BLK 720),,3,,
"",,,,1/
PINES STREET 72 (BLK 722),2
PINES STREET 72 (BLK 723),1
PINES STREET 72 (BLK 735),6
PINES STREET 72 (BLK 736),9
PINES STREET 72 (BLK 737),6
PINES STREET 72 (BLK 741),1
TAMPINES STREET 73,4
Location,No. of Dengue Cases
CARDIFF GROVE,2
LI HWAN CLOSE,3
LI HWAN PLACE,7
LI HWAN TERRACE,11
LI HWAN VIEW,5
LI HWAN WALK,4
LI HWAN DRIVE,2
JALAN PACHELI,2
Location,No. of Dengue Cases
CAVAN ROAD,1
FOCH ROAD,8
HAMILTON ROAD,3
HORNE ROAD,1
JALAN BESAR,2
LAVENDER STREET,3
TYRWHITT ROAD,6
Location,No. of Dengue Cases
RESERVOIR ROAD (BLK 716),3
RESERVOIR ROAD (BLK 717),10
RESERVOIR ROAD (BLK 718),4
RESERVOIR ROAD (BLK 719),4
RESERVOIR ROAD (BLK 721),1
Location,No. of Dengue Cases
BRADDELL HILL,8
Location,No. of Dengue Cases
G WEST AVENUE 1 (BLK 442),1
G WEST AVENUE 1 (BLK 444),1
G WEST STREET 42 (BLK 448),1
G WEST STREET 42 (BLK 452),2
G WEST STREET 42 (BLK 553),2
G WEST STREET 42 (BLK 557),1
Location,No. of Dengue Cases
KITCHENER LINK,5
KITCHENER ROAD,1
SOMME ROAD,2
Location,No. of Dengue Cases
PINES STREET 81 (BLK 817),1
PINES STREET 81 (BLK 820),1
PINES STREET 81 (BLK 897),2
INES STREET 81 (BLK 897A),1
PINES STREET 81 (BLK 898),2
Location,No. of Dengue Cases
HIGHLAND ROAD,5
Location,No. of Dengue Cases
ALAN BAHAGIA (BLK 27),1
ALAN BAHAGIA (BLK 28),1
ALAN BAHAGIA (BLK 32),1
ALAN BAHAGIA (BLK 33),1
LAN TENTERAM (BLK 21),1
Location,No. of Dengue Cases
JALAN IKAN MERAH,4
JALAN TERUBOK,1
Location,No. of Dengue Cases
ONG WEST ST 42 (BLK 545),3
ONG WEST ST 42 (BLK 546),2
Location,No. of Dengue Cases
LENGKONG EMPAT,2
LENGKONG SATU,1
LENGKONG TIGA,2
Location,No. of Dengue Cases
NG 4 TOA PAYOH (BLK 56),1
NG 4 TOA PAYOH (BLK 60),2
NG 4 TOA PAYOH (BLK 85A),1
Location,No. of Dengue Cases
BI AVENUE 1 (BLK 329),1
BI AVENUE 1 (BLK 330),4
Location,No. of Dengue Cases
WESTWOOD AVENUE,1
ESTWOOD CRESCENT,1
WESTWOOD TERRACE,1
WESTWOOD WALK,2
Location,No. of Dengue Cases
HUN AVENUE 6 (BLK 403),3
HUN AVENUE 6 (BLK 404),2
Location,No. of Dengue Cases
ON KENG ROAD (BLK 22),1
OWNER ROAD (BLK 102),1
OWNER ROAD (BLK 107),1
HAMPOA WEST (BLK 34),1
Location,No. of Dengue Cases
JALAN RAHMAT,1
JALAN KECHOT,1
LORONG SARINA,2
Location,No. of Dengue Cases
LORONG 15 GEYLANG,2
SIMS AVENUE,2
Location,No. of Dengue Cases
ERVALE DRIVE (BLK 117A),1
ERVALE DRIVE (BLK 117B),1
ERVALE DRIVE (BLK 119C),1
ERVALE DRIVE (BLK 120B),1
Location,No. of Dengue Cases
PINES STREET 71 (BLK 727),1
PINES STREET 83 (BLK 864),1
PINES AVENUE 5 (BLK 860),1
INES AVENUE 5 (BLK 861A),1
Location,No. of Dengue Cases
HUN RING ROAD (BLK 854),1
HUN STREET 61 (BLK 625),1
HUN STREET 61 (BLK 627),1
HUN STREET 61 (BLK 631),1
Location,No. of Dengue Cases
MO KIO AVENUE 4 (BLK 610),1
MO KIO AVENUE 4 (BLK 612),1
MO KIO AVENUE 4 (BLK 615),1
Location,No. of Dengue Cases
O KIO STREET 52 (BLK 596B),1
O KIO STREET 52 (BLK 596C),2
"",
"",
Location,No. of Dengue Cases
OK NORTH ROAD (BLK 706),1
K RESEROIR ROAD (BLK 703),2
"",
Location,No. of Dengue Cases
K SOUTH AVENUE 2 (BLK 6),1
K SOUTH AVENUE 2 (BLK 8),1
PPER CHANGI ROAD (BLK 30),1
Location,No. of Dengue Cases
BISHAN STREET 11,1
HAN STREET 13 (BLK 186),1
HAN STREET 13 (BLK 192),1
Location,No. of Dengue Cases
HAN STREET 22 (BLK 238),1
HAN STREET 22 (BLK 239),1
HAN STREET 22 (BLK 242),1
Location,No. of Dengue Cases
BISHOPSGATE,3
Location,No. of Dengue Cases
HU KANG AVENUE 3 (BLK 404),1
HU KANG AVENUE 3 (BLK 472),2
"",
Location,No. of Dengue Cases
ASSVALE STREET (BLK 250D),2
ASSVALE STREET (BLK 253),1
Location,No. of Dengue Cases
GOODLINK PARK,1
N LENGKOK SEMBAWANG,2
"",
Location,No. of Dengue Cases
G WEST STREET 52 (BLK 515),1
WEST STREET 52 (BLK 517A),2
"",
Location,No. of Dengue Cases
LORONG 12 GEYLANG,1
LORONG 16 GEYLANG,2
Location,No. of Dengue Cases
NG 7 TOA PAYOH (BLK 14),2
NG 7 TOA PAYOH (BLK 15),1
Location,No. of Dengue Cases
VALE CRESCENT (BLK 157B),1
VALE CRESCENT (BLK 157C),1
VALE CRESCENT (BLK 159A),1
Location,No. of Dengue Cases
SERANGOON ROAD,2
STURDEE ROAD,1
Location,No. of Dengue Cases
SIGLAP RISE,1
SIGLAP WALK,2
Location,No. of Dengue Cases
PINES STREET 81 (BLK 894),1
INES STREET 81 (BLK 896A),2
Location,No. of Dengue Cases
BI AVENUE 1 (BLK 339),1
BI AVENUE 1 (BLK 346),1
BI AVENUE 1 (BLK 349),1
Location,No. of Dengue Cases
WESTWOOD AVENUE,2
WESTWOOD DRIVE,1
Location,No. of Dengue Cases
WOODGROVE WALK,3
Location,No. of Dengue Cases
HUN AVENUE 3 (BLK 768),1
HUN AVENUE 3 (BLK 771),1
HUN AVENUE 3 (BLK 774),1
Location,No. of Dengue Cases
AKYAB ROAD,1
BASSEIN ROAD,1
"",
Location,No. of Dengue Cases
OK NORTH ROAD (BLK 109),1
NORTH AVENUE 3 (BLK 506),1
"",
Location,No. of Dengue Cases
HU KANG CENTRAL (BLK 220),1
HU KANG CENTRAL (BLK 227),1
"",
Location,No. of Dengue Cases
NWEALTH CRESCENT (BLK 96),2
"",
Location,No. of Dengue Cases
YLANG EAST AVENUE 1,1
ORONG 25A GEYLANG,1
"",
Location,No. of Dengue Cases
GEYLANG ROAD,1
LORONG 28 GEYLANG,1
Location,No. of Dengue Cases
JALAN MARIAM,1
MARIAM CLOSE,1
Location,No. of Dengue Cases
JALAN SETIA,1
ER ALJUNIED LANE (BLK 5),1
Location,No. of Dengue Cases
NG 1 TOA PAYOH (BLK124),1
NG 1 TOA PAYOH (BLK125),1
Location,No. of Dengue Cases
LORONG 6 GEYLANG,1
LORONG 8 GEYLANG,1
Location,No. of Dengue Cases
RSILING DRIVE (BLK 115),1
ARSILING RISE (BLK 120),1
"",
Location,No. of Dengue Cases
ORANGE GROVE ROAD,2
Location,No. of Dengue Cases
SIR RIS DRIVE 4 (BLK 459),1
SIR RIS DRIVE 4 (BLK 460),1
Location,No. of Dengue Cases
ENDING ROAD (BLK 125),1
ENDING ROAD (BLK 230),1
"",
Location,No. of Dengue Cases
VALE CRESCENT (BLK 152),1
ERVALE DRIVE (BLK 186A),1
"",
Location,No. of Dengue Cases
NGOON AVENUE 3 (BLK 126),1
NGOON AVENUE 3 (BLK 131),1
Location,No. of Dengue Cases
ON NORTH AVENUE 1 (BLK 108),1
ON NORTH AVENUE 1 (BLK 109),1
"",
Location,No. of Dengue Cases
SIMS DRIVE (BLK 41),1
SIMS DRIVE (BLK 42A),1
Location,No. of Dengue Cases
PINES STREET 41 (BLK 410),1
PINES STREET 41 (BLK 421),1
Location,No. of Dengue Cases
PINES STREET 44 (BLK 465),1
PINES STREET 44 (BLK 469),1
Location,No. of Dengue Cases
BLANGAH CRESCENT (BLK 23),1
BLANGAH CRESCENT (BLK 24),1
"",
Location,No. of Dengue Cases
DLANDS CIRCLE (BLK 740),1
DLANDS CIRCLE (BLK 741),1
"",
"",
Location,No. of Dengue Cases
"",
t Agency,,
HUN AVENUE 2 (BLK 778),1,
HUN RING ROAD (BLK 783),1,
se click here.,,
nnect With Us GO TO,,
NEA Website,,
Copyright  2013 National Environment Agency. All rights reserve,,
"",,6/
gency,,,,
Feedback,FAQS,Contact Us,,
Participate Resources,,Contact,,
Dengue Cluster Information @ NEA 2013,,,,
Click here for more NEA information in OneMap,,,,
cases occur within 14 days and the homes of the dengue,,,,
"cluster boundary, please click on the cluster locality.",,,,
r. Each alert level is associated with a list of preventive actions,,,,
There are 3 alert levels:,,,,
Alert Level,,,,
Red,,,,
Yellow,,,,
xt Green,,,,
Breakdown,,,,
Location No. of Dengue Cases,,,,
NGKANG EAST AVENUE,,28,,
RIVERVALE LINK,,19,,
ERVALE WALK (BLK 101),,2,,
ERVALE WALK (BLK 102),,2,,
ERVALE WALK (BLK 103),,2,,
ERVALE WALK (BLK 109),,1,,
ERVALE WALK (BLK 110),,1,,
Location No. of Dengue Cases,,,,
PINES STREET 71 (BLK 712),,1,,
PINES STREET 71 (BLK 714),,2,,
PINES STREET 71 (BLK 730),,4,,
PINES STREET 71 (BLK 731),,2,,
PINES STREET 71 (BLK 733),,3,,
PINES STREET 71 (BLK 734),,2,,
PINES STREET 71 (BLK 735),,1,,
PINES STREET 72 (BLK 717),,2,,
PINES STREET 72 (BLK 718),,3,,
PINES STREET 72 (BLK 719),,2,,
PINES STREET 72 (BLK 720),,3,,
PINES STREET 72 (BLK 722),,2,,
"",,,,1/
PINES STREET 72 (BLK 723),1
PINES STREET 72 (BLK 735),6
PINES STREET 72 (BLK 736),9
PINES STREET 72 (BLK 737),6
PINES STREET 72 (BLK 741),1
TAMPINES STREET 73,4
Location,No. of Dengue Cases
CARDIFF GROVE,2
LI HWAN CLOSE,3
LI HWAN PLACE,8
LI HWAN TERRACE,11
LI HWAN VIEW,5
LI HWAN WALK,4
LI HWAN DRIVE,2
JALAN PACHELI,2
Location,No. of Dengue Cases
CAVAN ROAD,1
FOCH ROAD,8
HAMILTON ROAD,3
HORNE ROAD,1
JALAN BESAR,2
LAVENDER STREET,3
TYRWHITT ROAD,6
Location,No. of Dengue Cases
RESERVOIR ROAD (BLK 716),3
RESERVOIR ROAD (BLK 717),10
RESERVOIR ROAD (BLK 718),4
RESERVOIR ROAD (BLK 719),4
RESERVOIR ROAD (BLK 721),1
Location,No. of Dengue Cases
ON KENG ROAD (BLK 5),1
ON KENG ROAD (BLK 7),2
ON KENG ROAD (BLK 22),1
SERANGOON ROAD,1
OWNER ROAD (BLK 102),1
OWNER ROAD (BLK 107),1
HAMPOA WEST (BLK 34),1
Location,No. of Dengue Cases
BRADDELL HILL,8
Location,No. of Dengue Cases
G WEST AVENUE 1 (BLK 442),1
G WEST AVENUE 1 (BLK 444),1
G WEST STREET 42 (BLK 448),1
G WEST STREET 42 (BLK 452),2
G WEST STREET 42 (BLK 553),2
G WEST STREET 42 (BLK 557),1
Location,No. of Dengue Cases
KITCHENER LINK,5
KITCHENER ROAD,1
SOMME ROAD,2
Location,No. of Dengue Cases
ERVALE DRIVE (BLK 116C),1
ERVALE DRIVE (BLK 117A),1
ERVALE DRIVE (BLK 117B),1
ERVALE DRIVE (BLK 119B),1
ERVALE DRIVE (BLK 119C),1
ERVALE DRIVE (BLK 120B),1
ERVALE WALK (BLK 115),1
Location,No. of Dengue Cases
PINES STREET 81 (BLK 817),1
PINES STREET 81 (BLK 820),1
PINES STREET 81 (BLK 897),2
INES STREET 81 (BLK 897A),1
PINES STREET 81 (BLK 898),2
"",
Location,No. of Dengue Cases
HUN AVENUE 6 (BLK 397),1
HUN AVENUE 6 (BLK 403),4
HUN AVENUE 6 (BLK 404),2
Location,No. of Dengue Cases
BI AVENUE 1 (BLK 327),1
BI AVENUE 1 (BLK 329),1
BI AVENUE 1 (BLK 330),4
Location,No. of Dengue Cases
WESTWOOD AVENUE,1
ESTWOOD CRESCENT,1
WESTWOOD TERRACE,1
WESTWOOD WALK,3
Location,No. of Dengue Cases
HIGHLAND ROAD,5
Location,No. of Dengue Cases
ALAN BAHAGIA (BLK 27),1
ALAN BAHAGIA (BLK 28),1
ALAN BAHAGIA (BLK 32),1
ALAN BAHAGIA (BLK 33),1
LAN TENTERAM (BLK 21),1
Location,No. of Dengue Cases
JALAN IKAN MERAH,4
JALAN TERUBOK,1
Location,No. of Dengue Cases
LENGKONG EMPAT,2
LENGKONG SATU,1
LENGKONG TIGA,2
Location,No. of Dengue Cases
NG 2 TOA PAYOH (BLK 83),1
NG 4 TOA PAYOH (BLK 80),1
NG 4 TOA PAYOH (BLK 85A),1
NG 4 TOA PAYOH (BLK 85C),1
Location,No. of Dengue Cases
WESTWOOD AVENUE,3
WESTWOOD DRIVE,1
WESTWOOD WALK,1
Location,No. of Dengue Cases
O KIO STREET 52 (BLK 596B),1
O KIO STREET 52 (BLK 596C),3
"",
Location,No. of Dengue Cases
HAN STREET 22 (BLK 238),1
HAN STREET 22 (BLK 239),2
HAN STREET 22 (BLK 242),1
Location,No. of Dengue Cases
ASSVALE LANE (BLK 205A),1
ASSVALE LANE (BLK 206C),1
ASSVALE LANE (BLK 207B),1
ASSVALE LANE (BLK 211C),1
Location,No. of Dengue Cases
JALAN MARIAM,1
MARIAM CLOSE,1
MARIAM WAY,2
Location,No. of Dengue Cases
LORONG 15 GEYLANG,2
SIMS AVENUE,2
Location,No. of Dengue Cases
PINES STREET 71 (BLK 727),1
PINES STREET 83 (BLK 864),1
PINES AVENUE 5 (BLK 860),1
INES AVENUE 5 (BLK 861A),1
Location,No. of Dengue Cases
HUN AVENUE 3 (BLK 766),1
HUN AVENUE 3 (BLK 768),1
HUN AVENUE 3 (BLK 771),1
HUN AVENUE 3 (BLK 774),1
Location,No. of Dengue Cases
HUN RING ROAD (BLK 854),1
HUN STREET 61 (BLK 625),1
HUN STREET 61 (BLK 627),1
HUN STREET 61 (BLK 631),1
Location,No. of Dengue Cases
MO KIO AVENUE 4 (BLK 610),1
MO KIO AVENUE 4 (BLK 612),1
MO KIO AVENUE 4 (BLK 615),1
Location,No. of Dengue Cases
BALAM ROAD (BLK 24),1
BALAM ROAD (BLK 27),1
BALAM ROAD (BLK 33),1
"",
Location,No. of Dengue Cases
OK NORTH ROAD (BLK 706),1
K RESEROIR ROAD (BLK 703),2
"",
Location,No. of Dengue Cases
K SOUTH AVENUE 2 (BLK 6),1
K SOUTH AVENUE 2 (BLK 8),1
PPER CHANGI ROAD (BLK 30),1
Location,No. of Dengue Cases
BISHAN STREET 11,1
HAN STREET 13 (BLK 186),1
HAN STREET 13 (BLK 192),1
"",
Location,No. of Dengue Cases
ASSVALE STREET (BLK 250D),2
ASSVALE STREET (BLK 253),1
Location,No. of Dengue Cases
GOODLINK PARK,1
N LENGKOK SEMBAWANG,2
"",
Location,No. of Dengue Cases
G WEST STREET 52 (BLK 515),1
WEST STREET 52 (BLK 517A),2
"",
